date,species,trap,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,day,month,year,week
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,9,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,9,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,9,1,0,29,5,2007,22
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,8,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,8,4,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,8,2,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.65449100000001,8,1,0,29,5,2007,22
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,8,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,8,2,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,8,1,0,29,5,2007,22
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,8,1,0,29,5,2007,22
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,8,2,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,8,3,0,29,5,2007,22
2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,8,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,8,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,8,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,9,3,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,8,5,0,29,5,2007,22
2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,8,1,0,29,5,2007,22
2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,5,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,5,2,0,29,5,2007,22
2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,8,1,0,29,5,2007,22
2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,8,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T153,41.907645,-87.760886,8,1,0,29,5,2007,22
2007-05-29,CULEX RESTUANS,T159,41.732984,-87.649642,8,1,0,29,5,2007,22
2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,9,3,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T002,41.95469,-87.800991,9,5,0,5,6,2007,23
2007-06-05,CULEX PIPIENS,T002,41.95469,-87.800991,9,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T015,41.974089,-87.824812,8,2,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T045,41.9216,-87.666455,8,2,0,5,6,2007,23
2007-06-05,CULEX PIPIENS,T045,41.9216,-87.666455,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T046,41.891118,-87.65449100000001,8,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T048,41.867108,-87.654224,8,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS,T048,41.867108,-87.654224,8,2,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T049,41.896282,-87.655232,8,2,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T050,41.919343,-87.694259,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T054,41.921965,-87.632085,8,3,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T086,41.688324,-87.676709,8,4,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,9,2,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T096,41.731922,-87.677512,8,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS,T096,41.731922,-87.677512,8,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,8,2,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T143,41.999128999999996,-87.795585,8,9,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T153,41.907645,-87.760886,8,3,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T159,41.732984,-87.649642,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T009,41.981964000000005,-87.812827,8,2,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T011,41.944869,-87.832763,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T016,42.011601,-87.81150600000001,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T019,41.94983,-87.69845699999999,9,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T025,41.979243,-87.750938,9,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T028,41.986921,-87.689778,9,2,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T031,41.801497999999995,-87.763416,9,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T033,41.906638,-87.701431,9,3,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T089,41.723195000000004,-87.64997,5,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,9,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T090,41.868077,-87.666901,9,7,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T092,41.869215999999994,-87.627561,8,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,8,2,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T135,41.662014,-87.72460799999999,8,4,0,5,6,2007,23
2007-06-05,CULEX PIPIENS,T135,41.662014,-87.72460799999999,8,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,9,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T141,41.961743,-87.76007,9,2,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T142,41.953067,-87.776792,8,3,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T145,41.878114000000004,-87.629798,3,3,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,9,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T146,41.958271,-87.702575,9,2,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T147,41.932094,-87.700117,8,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T150,42.006858,-87.675919,9,2,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T151,41.916265,-87.800515,8,10,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T152,41.846075,-87.716277,9,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T154,41.918704999999996,-87.752329,8,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,9,3,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T158,41.682587,-87.707973,9,8,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T162,41.725516999999996,-87.61425799999999,8,1,0,5,6,2007,23
2007-06-05,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,8,2,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T218,41.948167,-87.730698,8,1,0,5,6,2007,23
2007-06-05,CULEX RESTUANS,T220,41.963976,-87.69181,9,1,0,5,6,2007,23
2007-06-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,9,1,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T002,41.95469,-87.800991,9,4,0,26,6,2007,26
2007-06-26,other,T002,41.95469,-87.800991,9,1,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,9,1,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T007,41.994991,-87.769279,9,4,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T015,41.974089,-87.824812,8,1,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,8,1,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T045,41.9216,-87.666455,8,1,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.65449100000001,8,1,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T046,41.891118,-87.65449100000001,8,6,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,8,2,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T049,41.896282,-87.655232,8,1,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T050,41.919343,-87.694259,8,1,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,8,2,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T086,41.688324,-87.676709,8,2,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T096,41.731922,-87.677512,8,5,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,5,1,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T129,41.891126,-87.61156,5,1,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,8,1,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T143,41.999128999999996,-87.795585,8,1,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,8,2,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T148,42.01743,-87.68776899999999,8,2,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,8,2,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T011,41.944869,-87.832763,8,4,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.81150600000001,8,2,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T016,42.011601,-87.81150600000001,8,2,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T019,41.94983,-87.69845699999999,9,1,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T025,41.979243,-87.750938,9,1,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,9,1,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T028,41.986921,-87.689778,9,9,0,26,6,2007,26
2007-06-26,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,9,2,0,26,6,2007,26
2007-06-26,CULEX RESTUANS,T033,41.906638,-87.701431,9,3,0,26,6,2007,26
